,Slice,Count,Date,CellLine,Treatment,Rep,FOV,Measurement
2,3,13,20200820,U2OS,2aRFP,Rep1,FOV2,PunctaSummary
2,3,29,20200820,U2OS,2aRFP,Rep2,FOV5,PunctaSummary
1,2,18,20200820,U2OS,2aRFP,Rep2,FOV3,PunctaSummary
0,1,9,20200820,U2OS,2aRFP,Rep2,FOV8,PunctaSummary
0,1,5,20200820,U2OS,2aRFP,Rep2,FOV2,PunctaSummary
0,1,26,20200820,U2OS,2aRFP,Rep1,FOV6,PunctaSummary
0,1,14,20200820,U2OS,2aRFP,Rep1,FOV5,PunctaSummary
1,2,21,20200820,U2OS,2aRFP,Rep1,FOV3,PunctaSummary
0,1,18,20200820,U2OS,2aRFP,Rep1,FOV3,PunctaSummary
1,2,11,20200820,U2OS,2aRFP,Rep1,FOV6,PunctaSummary
2,3,19,20200820,U2OS,2aRFP,Rep2,FOV8,PunctaSummary
1,2,23,20200820,U2OS,2aRFP,Rep1,FOV7,PunctaSummary
3,4,13,20200820,U2OS,2aRFP,Rep2,FOV8,PunctaSummary
1,2,9,20200820,U2OS,2aRFP,Rep1,FOV5,PunctaSummary
1,2,26,20200820,U2OS,2aRFP,Rep1,FOV10,PunctaSummary
0,1,10,20200820,U2OS,2aRFP,Rep2,FOV7,PunctaSummary
1,2,10,20200820,U2OS,2aRFP,Rep2,FOV7,PunctaSummary
4,5,14,20200820,U2OS,2aRFP,Rep2,FOV8,PunctaSummary
0,1,42,20200820,U2OS,2aRFP,Rep1,FOV1,PunctaSummary
3,4,14,20200820,U2OS,2aRFP,Rep1,FOV7,PunctaSummary
0,1,25,20200820,U2OS,2aRFP,Rep2,FOV3,PunctaSummary
0,1,49,20200820,U2OS,2aRFP,Rep1,FOV10,PunctaSummary
1,2,12,20200820,U2OS,2aRFP,Rep2,FOV8,PunctaSummary
2,3,30,20200820,U2OS,2aRFP,Rep1,FOV6,PunctaSummary
3,4,7,20200820,U2OS,2aRFP,Rep1,FOV4,PunctaSummary
2,3,18,20200820,U2OS,2aRFP,Rep1,FOV7,PunctaSummary
1,2,19,20200820,U2OS,2aRFP,Rep2,FOV9,PunctaSummary
1,2,21,20200820,U2OS,2aRFP,Rep2,FOV5,PunctaSummary
0,1,11,20200820,U2OS,2aRFP,Rep2,FOV4,PunctaSummary
0,1,17,20200820,U2OS,2aRFP,Rep1,FOV11,PunctaSummary
0,1,15,20200820,U2OS,2aRFP,Rep2,FOV5,PunctaSummary
2,3,9,20200820,U2OS,2aRFP,Rep1,FOV11,PunctaSummary
0,1,12,20200820,U2OS,2aRFP,Rep2,FOV6,PunctaSummary
1,2,23,20200820,U2OS,2aRFP,Rep2,FOV6,PunctaSummary
0,1,28,20200820,U2OS,2aRFP,Rep1,FOV4,PunctaSummary
1,2,16,20200820,U2OS,2aRFP,Rep1,FOV4,PunctaSummary
2,3,12,20200820,U2OS,2aRFP,Rep1,FOV4,PunctaSummary
1,2,26,20200820,U2OS,2aRFP,Rep1,FOV9,PunctaSummary
1,2,19,20200820,U2OS,2aRFP,Rep1,FOV11,PunctaSummary
0,1,15,20200820,U2OS,2aRFP,Rep1,FOV9,PunctaSummary
0,1,21,20200820,U2OS,2aRFP,Rep1,FOV7,PunctaSummary
0,1,11,20200820,U2OS,2aRFP,Rep2,FOV9,PunctaSummary
0,1,19,20200820,U2OS,2aRFP,Rep2,FOV1,PunctaSummary
0,1,32,20200820,U2OS,2aRFP,Rep1,FOV2,PunctaSummary
1,2,28,20200820,U2OS,2aRFP,Rep1,FOV8,PunctaSummary
2,3,4,20200820,U2OS,2aRFP,Rep2,FOV9,PunctaSummary
1,2,17,20200820,U2OS,2aRFP,Rep1,FOV2,PunctaSummary
1,2,18,20200820,U2OS,2aRFP,Rep2,FOV1,PunctaSummary
2,3,20,20200820,U2OS,2aRFP,Rep2,FOV1,PunctaSummary
0,1,32,20200820,U2OS,2aRFP,Rep1,FOV8,PunctaSummary
0,1,15,20200820,U2OS,Dyn1K44A,Rep1,FOV4,PunctaSummary
0,1,16,20200820,U2OS,Dyn1K44A,Rep1,FOV1,PunctaSummary
0,1,1,20200820,U2OS,Dyn1K44A,Rep2,FOV5,PunctaSummary
3,4,13,20200820,U2OS,Dyn1K44A,Rep2,FOV6,PunctaSummary
1,2,7,20200820,U2OS,Dyn1K44A,Rep2,FOV5,PunctaSummary
1,2,4,20200820,U2OS,Dyn1K44A,Rep1,FOV6,PunctaSummary
0,1,4,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
5,6,1,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
2,3,3,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
3,4,12,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
1,2,20,20200820,U2OS,Dyn1K44A,Rep1,FOV1,PunctaSummary
4,5,3,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
0,1,6,20200820,U2OS,Dyn1K44A,Rep1,FOV6,PunctaSummary
0,1,8,20200820,U2OS,Dyn1K44A,Rep2,FOV6,PunctaSummary
1,2,10,20200820,U2OS,Dyn1K44A,Rep2,FOV4,PunctaSummary
1,2,11,20200820,U2OS,Dyn1K44A,Rep2,FOV3,PunctaSummary
0,1,17,20200820,U2OS,Dyn1K44A,Rep2,FOV4,PunctaSummary
1,2,14,20200820,U2OS,Dyn1K44A,Rep2,FOV6,PunctaSummary
3,4,3,20200820,U2OS,Dyn1K44A,Rep2,FOV1,PunctaSummary
4,5,4,20200820,U2OS,Dyn1K44A,Rep2,FOV1,PunctaSummary
0,1,14,20200820,U2OS,Dyn1K44A,Rep2,FOV2,PunctaSummary
2,3,15,20200820,U2OS,Dyn1K44A,Rep1,FOV3,PunctaSummary
0,1,4,20200820,U2OS,Dyn1K44A,Rep1,FOV7,PunctaSummary
0,1,10,20200820,U2OS,Dyn1K44A,Rep1,FOV3,PunctaSummary
1,2,12,20200820,U2OS,Dyn1K44A,Rep1,FOV2,PunctaSummary
1,2,12,20200820,U2OS,Dyn1K44A,Rep2,FOV7,PunctaSummary
3,4,13,20200820,U2OS,Dyn1K44A,Rep1,FOV3,PunctaSummary
1,2,8,20200820,U2OS,Dyn1K44A,Rep1,FOV3,PunctaSummary
0,1,7,20200820,U2OS,Dyn1K44A,Rep2,FOV7,PunctaSummary
2,3,15,20200820,U2OS,Dyn1K44A,Rep2,FOV6,PunctaSummary
0,1,11,20200820,U2OS,Dyn1K44A,Rep1,FOV5,PunctaSummary
0,1,18,20200820,U2OS,Dyn1K44A,Rep2,FOV1,PunctaSummary
1,2,12,20200820,U2OS,Dyn1K44A,Rep2,FOV1,PunctaSummary
0,1,15,20200820,U2OS,Dyn1K44A,Rep1,FOV2,PunctaSummary
2,3,5,20200820,U2OS,Dyn1K44A,Rep2,FOV1,PunctaSummary
1,2,31,20200820,U2OS,SMPD3,Rep2,FOV7,PunctaSummary
0,1,27,20200820,U2OS,SMPD3,Rep2,FOV9,PunctaSummary
1,2,26,20200820,U2OS,SMPD3,Rep2,FOV1,PunctaSummary
0,1,37,20200820,U2OS,SMPD3,Rep2,FOV4,PunctaSummary
1,2,34,20200820,U2OS,SMPD3,Rep2,FOV4,PunctaSummary
0,1,22,20200820,U2OS,SMPD3,Rep1,FOV9,PunctaSummary
0,1,30,20200820,U2OS,SMPD3,Rep2,FOV5,PunctaSummary
1,2,18,20200820,U2OS,SMPD3,Rep2,FOV5,PunctaSummary
0,1,15,20200820,U2OS,SMPD3,Rep1,FOV8,PunctaSummary
0,1,15,20200820,U2OS,SMPD3,Rep1,FOV7,PunctaSummary
0,1,25,20200820,U2OS,SMPD3,Rep2,FOV7,PunctaSummary
1,2,10,20200820,U2OS,SMPD3,Rep1,FOV8,PunctaSummary
0,1,18,20200820,U2OS,SMPD3,Rep2,FOV1,PunctaSummary
0,1,42,20200820,U2OS,SMPD3,Rep2,FOV2,PunctaSummary
0,1,31,20200820,U2OS,SMPD3,Rep1,FOV1,PunctaSummary
0,1,41,20200820,U2OS,SMPD3,Rep2,FOV6,PunctaSummary
1,2,33,20200820,U2OS,SMPD3,Rep2,FOV6,PunctaSummary
0,1,18,20200820,U2OS,SMPD3,Rep1,FOV5,PunctaSummary
0,1,21,20200820,U2OS,SMPD3,Rep1,FOV4,PunctaSummary
0,1,32,20200820,U2OS,SMPD3,Rep2,FOV8,PunctaSummary
0,1,26,20200820,U2OS,SMPD3,Rep1,FOV6,PunctaSummary
0,1,16,20200820,U2OS,SMPD3,Rep1,FOV10,PunctaSummary
1,2,15,20200820,U2OS,SMPD3,Rep1,FOV4,PunctaSummary
0,1,32,20200820,U2OS,SMPD3,Rep1,FOV2,PunctaSummary
0,1,39,20200820,U2OS,SMPD3,Rep1,FOV11,PunctaSummary
0,1,19,20200820,U2OS,SMPD3,Rep2,FOV3,PunctaSummary
0,1,12,20200820,U2OS,SMPD3,Rep1,FOV12,PunctaSummary
1,2,19,20200820,U2OS,SMPD3,Rep2,FOV3,PunctaSummary
0,1,17,20200820,U2OS,SMPD3,Rep1,FOV3,PunctaSummary
1,2,8,20200820,U2OS,SMPD3N130A,Rep2,FOV4,PunctaSummary
0,1,6,20200820,U2OS,SMPD3N130A,Rep2,FOV1,PunctaSummary
1,2,35,20200820,U2OS,SMPD3N130A,Rep1,FOV9,PunctaSummary
0,1,14,20200820,U2OS,SMPD3N130A,Rep1,FOV9,PunctaSummary
0,1,41,20200820,U2OS,SMPD3N130A,Rep1,FOV1,PunctaSummary
1,2,35,20200820,U2OS,SMPD3N130A,Rep1,FOV1,PunctaSummary
0,1,4,20200820,U2OS,SMPD3N130A,Rep2,FOV4,PunctaSummary
0,1,12,20200820,U2OS,SMPD3N130A,Rep1,FOV7,PunctaSummary
0,1,15,20200820,U2OS,SMPD3N130A,Rep1,FOV4,PunctaSummary
1,2,13,20200820,U2OS,SMPD3N130A,Rep1,FOV8,PunctaSummary
0,1,22,20200820,U2OS,SMPD3N130A,Rep1,FOV8,PunctaSummary
1,2,18,20200820,U2OS,SMPD3N130A,Rep2,FOV5,PunctaSummary
0,1,6,20200820,U2OS,SMPD3N130A,Rep2,FOV5,PunctaSummary
1,2,10,20200820,U2OS,SMPD3N130A,Rep1,FOV7,PunctaSummary
2,3,11,20200820,U2OS,SMPD3N130A,Rep1,FOV7,PunctaSummary
1,2,19,20200820,U2OS,SMPD3N130A,Rep1,FOV4,PunctaSummary
0,1,10,20200820,U2OS,SMPD3N130A,Rep2,FOV3,PunctaSummary
2,3,13,20200820,U2OS,SMPD3N130A,Rep2,FOV2,PunctaSummary
0,1,20,20200820,U2OS,SMPD3N130A,Rep2,FOV6,PunctaSummary
0,1,14,20200820,U2OS,SMPD3N130A,Rep2,FOV8,PunctaSummary
1,2,28,20200820,U2OS,SMPD3N130A,Rep2,FOV1,PunctaSummary
1,2,19,20200820,U2OS,SMPD3N130A,Rep2,FOV6,PunctaSummary
0,1,18,20200820,U2OS,SMPD3N130A,Rep1,FOV2,PunctaSummary
1,2,27,20200820,U2OS,SMPD3N130A,Rep1,FOV2,PunctaSummary
2,3,20,20200820,U2OS,SMPD3N130A,Rep1,FOV2,PunctaSummary
3,4,23,20200820,U2OS,SMPD3N130A,Rep1,FOV2,PunctaSummary
0,1,19,20200820,U2OS,SMPD3N130A,Rep1,FOV5,PunctaSummary
1,2,25,20200820,U2OS,SMPD3N130A,Rep1,FOV5,PunctaSummary
0,1,15,20200820,U2OS,SMPD3N130A,Rep1,FOV6,PunctaSummary
1,2,51,20200820,U2OS,SMPD3N130A,Rep1,FOV6,PunctaSummary
1,2,14,20200820,U2OS,SMPD3N130A,Rep2,FOV2,PunctaSummary
0,1,11,20200820,U2OS,SMPD3N130A,Rep2,FOV2,PunctaSummary
1,2,8,20200820,U2OS,SMPD3N130A,Rep2,FOV7,PunctaSummary
0,1,5,20200820,U2OS,SMPD3N130A,Rep2,FOV7,PunctaSummary
1,2,26,20200820,U2OS,SMPD3N130A,Rep2,FOV8,PunctaSummary
0,1,31,20200820,U2OS,SMPD3N130A,Rep1,FOV3,PunctaSummary
